nome,cod_bolsa,categoria
Agribrasil,GRAO,Outros
INVESTO USTK,USTK,Outros
AgroGalaxy,AGXY,Outros
Tronox,CRPG,Outros
Smart Fit,SMFT,Outros
Boa Safra,SOJA,Outros
Zynga Inc,Z2NG,Outros
Trade Desk,T2TD,Outros
Teladochealt,T2DH,Outros
Sun Commun,S2UI,Outros
Square Inc,S2QU,Outros
Snowflake,S2NW,Outros
Shopify Inc,S2HO,Outros
Caesars Entt,C2ZR,Outros
Unity Softwr,U2ST,Outros
Sea Ltd,S2EA,Outros
Penn Nationl,P2EN,Outros
Medical P Tr,M2PW,Outros
Kingsoft Chl,K2CG,Outros
Draftkings,D2KN,Outros
Cyrusone Inc,C2ON,Outros
Churchill Dw,C2HD,Outros
Beyond Meat,B2YN,Outros
Energisa MT,ENMT,Outros
FII AUTONOMYCI,AIEC,Outros
Vibra Energia S.A,VBBR,"Petróleo, Gás e Biocombustíveis"
Raízen,RAIZ,"Petróleo, Gás e Biocombustíveis"
PetroRecôncavo Geral SA,RECV,"Petróleo, Gás e Biocombustíveis"
Schlumberger,SLBG,"Petróleo, Gás e Biocombustíveis"
Halliburton,HALI,"Petróleo, Gás e Biocombustíveis"
ConocoPhillips,COPH,"Petróleo, Gás e Biocombustíveis"
Chevron,CHVX,"Petróleo, Gás e Biocombustíveis"
PETRORIO,PRIO,"Petróleo, Gás e Biocombustíveis"
OSX Brasil,OSXB,"Petróleo, Gás e Biocombustíveis"
Dommo,DMMO,"Petróleo, Gás e Biocombustíveis"
Pet Manguinhos,RPMG,"Petróleo, Gás e Biocombustíveis"
Ultrapar,UGPA,"Petróleo, Gás e Biocombustíveis"
Petrobras,PETR,"Petróleo, Gás e Biocombustíveis"
Exxon Mobil,EXXO,"Petróleo, Gás e Biocombustíveis"
Enauta Part,ENAT,"Petróleo, Gás e Biocombustíveis"
Oncoclínicas,ONCO,Saúde
Viveo,VVEO,Saúde
Instituto Hermes Pardini SA,PARD,Saúde
Biomm,BIOM,Saúde
Baumer,BALM,Saúde
Pfizer,PFIZ,Saúde
Merck,MRCK,Saúde
Biotoscana,GBIO,Saúde
Dimed,PNVL,Saúde
Alliar,AALR,Saúde
OdontoPrev,ODPV,Saúde
RD,RADL,Saúde
Qualicorp,QUAL,Saúde
Ourofino S/A,OFSA,Saúde
Johnson,JNJB,Saúde
Hypera Pharma,HYPE,Saúde
Fleury,FLRY,Saúde
Bristolmyers,BMYB,Saúde
Abbott Laboratories,ABTT,Saúde
ClearSale,CLSA,Tecnologia da Informação
Livetech,LVTC,Tecnologia da Informação
G2D Investments,G2DI,Tecnologia da Informação
Infracommerce,IFCM,Tecnologia da Informação
Alphabet,GOGL,Tecnologia da Informação
Locaweb,LWSA,Tecnologia da Informação
Totvs,TOTS,Tecnologia da Informação
Xerox,XRXB,Tecnologia da Informação
Qualcomm,QCOM,Tecnologia da Informação
Oracle,ORCL,Tecnologia da Informação
Microsoft,MSFT,Tecnologia da Informação
IBM,IBMB,Tecnologia da Informação
Intel,ITLC,Tecnologia da Informação
HP Company,HPQB,Tecnologia da Informação
eBay,EBAY,Tecnologia da Informação
Cisco,CSCO,Tecnologia da Informação
Att Inc,ATTB,Tecnologia da Informação
Apple,AAPL,Tecnologia da Informação
Linx,LINX,Tecnologia da Informação
Positivo Inf,POSI,Tecnologia da Informação
Ebay,EBAY,Tecnologia da Informação
Brisanet,BRIT,Telecomunicações
Unifique,FIQE,Telecomunicações
Desktop,DESK,Telecomunicações
Verizon,VERZ,Telecomunicações
OI,OIBR,Telecomunicações
Tim Participações,TIMS,Telecomunicações
Telefônica Brasil S.A,VIVT,Telecomunicações
Telebras,TELB,Telecomunicações
Att Inc,ATTB,Telecomunicações
Auren Energia,AURE,Utilidade Pública
Omega Energia,MEGA,Utilidade Pública
Celpe,CEPE,Utilidade Pública
CEEE-D,CEED,Utilidade Pública
Ceee-gt,EEEL,Utilidade Pública
Casan,CASN,Utilidade Pública
CEG,CEGR,Utilidade Pública
CEB,CEBR,Utilidade Pública
Renova,RNEW,Utilidade Pública
Coelce,COCE,Utilidade Pública
Celesc,CLSC,Utilidade Pública
Alupar Investimento,ALUP,Utilidade Pública
Sanepar,SAPR,Utilidade Pública
CPFL Renovav,CPRE,Utilidade Pública
Copel,CPLE,Utilidade Pública
CPFL Energia,CPFE,Utilidade Pública
Comgás,CGAS,Utilidade Pública
AES Brasil,AESB,Utilidade Pública
Neoenergia,NEOE,Utilidade Pública
ISA CTEEP,TRPL,Utilidade Pública
Engie Brasil,EGIE,Utilidade Pública
Taesa,TAEE,Utilidade Pública
Sabesp,SBSP,Utilidade Pública
Renaova,RNEW,Utilidade Pública
Ger Paranapanema,GEPA,Utilidade Pública
CESP,CESP,Utilidade Pública
Cemig,CMIG,Utilidade Pública
Afluente T,AFLT,Utilidade Pública
